1,0.303,0.497,0.784,0.748,0.743,0.169,0.462,0.479,0.785,0.31,0.026,0.701
1,0.658,0.598,0.645,0.786,0.248,0.381,0.08,0.428,0.248,0.53,0.591,0.145
0,0.038,0.49,0.796,0.637,0.13,0.38,0.226,0.359,0.72,0.392,0.464,0.497
0,0.094,0.752,0.645,0.801,0.381,0.479,0.475,0.381,0.227,0.645,0.445,0.248
0,0.059,0.806,0.254,0.521,0.091,0.538,0.212,0.645,0.609,0.227,0.545,0.531
1,0.065,0.254,0.685,0.565,0.091,0.796,0.445,0.658,0.465,0.485,0.472,0.184
1,0.385,0.248,0.211,0.612,0.082,0.038,0.485,0.652,0.212,0.373,0.563,0.026
1,0.796,0.596,0.785,0.31,0.145,0.479,0.142,0.685,0.748,0.635,0.798,0.474
1,0.38,0.658,0.485,0.645,0.036,0.598,0.806,0.428,0.786,0.798,0.645,0.113
0,0.743,0.214,0.625,0.642,0.53,0.784,0.645,0.641,0.065,0.598,0.786,0.637
0,0.796,0.596,0.785,0.31,0.145,0.479,0.645,0.785,0.701,0.479,0.485,0.003
0,0.733,0.212,0.72,0.474,0.609,0.497,0.121,0.785,0.186,0.641,0.254,0.141
0,0.472,0.785,0.798,0.277,0.31,0.637,0.45,0.479,0.065,0.212,0.788,0.105
1,0.807,0.787,0.381,0.181,0.485,0.248,0.758,0.598,0.73,0.145,0.212,0.445
0,0.015,0.637,0.596,0.632,0.768,0.205,0.018,0.784,0.149,0.785,0.748,0.497
0,0.303,0.637,0.641,0.497,0.788,0.701,0.385,0.658,0.598,0.479,0.72,0.13
1,0.806,0.428,0.658,0.598,0.445,0.641,0.127,0.53,0.642,0.752,0.784,0.801
1,0.31,0.591,0.132,0.794,0.793,0.494,0.036,0.094,0.142,0.645,0.598,0.788
0,0.065,0.786,0.598,0.638,0.479,0.031,0.637,0.537,0.151,0.707,0.718,0.778
1,0.006,0.38,0.801,0.798,0.645,0.785,0.645,0.485,0.308,0.788,0.145,0.646
0,0.798,0.778,0.319,0.786,0.445,0.748,0.318,0.53,0.658,0.645,0.059,0.003
1,0.53,0.786,0.13,0.303,0.637,0.497,0.003,0.006,0.13,0.786,0.805,0.113
0,0.227,0.036,0.787,0.38,0.641,0.658,0.091,0.303,0.646,0.642,0.645,0.596
1,0.121,0.785,0.186,0.641,0.254,0.141,0.065,0.786,0.798,0.647,0.645,0.801
1,0.248,0.145,0.788,0.798,0.645,0.385,0.306,0.113,0.036,0.594,0.151,0.145
0,0.72,0.428,0.145,0.465,0.423,0.485,0.637,0.251,0.145,0.248,0.286,0.233
1,0.479,0.135,0.195,0.214,0.797,0.645,0.786,0.645,0.598,0.006,0.784,0.658
0,0.645,0.462,0.497,0.279,0.26,0.494,0.73,0.089,0.497,0.462,0.445,0.059
1,0.785,0.701,0.645,0.801,0.788,0.006,0.658,0.006,0.465,0.748,0.145,0.645
1,0.149,0.797,0.006,0.13,0.145,0.645,0.279,0.26,0.49,0.184,0.171,0.395
0,0.461,0.745,0.774,0.003,0.038,0.647,0.091,0.303,0.646,0.642,0.645,0.596
0,0.148,0.801,0.26,0.145,0.788,0.798,0.645,0.641,0.065,0.598,0.786,0.637
0,0.733,0.212,0.72,0.474,0.609,0.497,0.485,0.212,0.748,0.641,0.51,0.787
0,0.646,0.713,0.038,0.221,0.091,0.473,0.282,0.645,0.485,0.479,0.639,0.591
1,0.748,0.465,0.637,0.132,0.472,0.13,0.235,0.065,0.184,0.706,0.598,0.145
0,0.212,0.485,0.472,0.645,0.145,0.778,0.788,0.701,0.49,0.473,0.379,0.212
1,0.807,0.787,0.381,0.181,0.485,0.248,0.279,0.26,0.598,0.211,0.785,0.658
1,0.53,0.45,0.479,0.598,0.282,0.641,0.303,0.596,0.641,0.748,0.497,0.727
0,0.752,0.625,0.205,0.0,0.0,0.0,0.53,0.658,0.13,0.786,0.701,0.494
0,0.324,0.003,0.641,0.385,0.472,0.785,0.53,0.786,0.13,0.303,0.637,0.497
0,0.197,0.641,0.7,0.542,0.745,0.773,0.53,0.658,0.13,0.786,0.701,0.494
0,0.248,0.184,0.196,0.472,0.428,0.748,0.13,0.658,0.184,0.445,0.642,0.214
0,0.248,0.53,0.142,0.598,0.695,0.593,0.015,0.687,0.563,0.768,0.72,0.609
1,0.788,0.701,0.49,0.473,0.379,0.212,0.586,0.006,0.113,0.479,0.598,0.547
1,0.785,0.701,0.72,0.08,0.798,0.38,0.798,0.003,0.465,0.251,0.254,0.547
1,0.53,0.658,0.13,0.786,0.701,0.494,0.145,0.113,0.609,0.53,0.637,0.472
0,0.248,0.53,0.065,0.598,0.145,0.748,0.113,0.302,0.227,0.494,0.472,0.801
1,0.45,0.226,0.208,0.091,0.277,0.196,0.049,0.465,0.7,0.308,0.604,0.35
0,0.784,0.658,0.497,0.645,0.494,0.801,0.303,0.73,0.429,0.641,0.089,0.26
1,0.784,0.645,0.786,0.701,0.53,0.428,0.461,0.015,0.359,0.796,0.469,0.62
1,0.089,0.006,0.132,0.485,0.143,0.794,0.036,0.579,0.645,0.242,0.591,0.594
0,0.306,0.38,0.089,0.145,0.768,0.555,0.485,0.003,0.13,0.445,0.801,0.778
1,0.465,0.485,0.065,0.658,0.398,0.534,0.308,0.465,0.145,0.788,0.645,0.637
0,0.645,0.113,0.003,0.658,0.494,0.641,0.303,0.445,0.658,0.145,0.787,0.647
1,0.719,0.645,0.494,0.787,0.227,0.461,0.785,0.472,0.006,0.197,0.003,0.35
1,0.652,0.479,0.113,0.445,0.242,0.385,0.208,0.537,0.63,0.242,0.034,0.036
1,0.596,0.031,0.43,0.142,0.282,0.35,0.003,0.786,0.472,0.658,0.801,0.462
1,0.786,0.248,0.385,0.645,0.598,0.494,0.658,0.598,0.036,0.38,0.645,0.479
1,0.645,0.785,0.212,0.385,0.462,0.145,0.462,0.658,0.472,0.003,0.758,0.641
0,0.647,0.248,0.494,0.472,0.658,0.497,0.006,0.235,0.468,0.658,0.635,0.53
1,0.472,0.227,0.196,0.748,0.571,0.787,0.641,0.797,0.472,0.479,0.748,0.428
1,0.248,0.145,0.788,0.798,0.645,0.385,0.497,0.758,0.308,0.598,0.645,0.594
0,0.645,0.785,0.497,0.658,0.646,0.302,0.248,0.658,0.801,0.534,0.645,0.038
0,0.699,0.464,0.345,0.745,0.719,0.248,0.13,0.701,0.784,0.485,0.785,0.645
0,0.015,0.785,0.598,0.472,0.151,0.706,0.752,0.13,0.497,0.786,0.308,0.473
0,0.038,0.091,0.132,0.113,0.479,0.303,0.497,0.151,0.745,0.385,0.178,0.127
1,0.018,0.784,0.149,0.785,0.748,0.497,0.26,0.279,0.748,0.658,0.184,0.49
0,0.302,0.113,0.771,0.227,0.149,0.379,0.494,0.785,0.645,0.798,0.801,0.13
1,0.025,0.785,0.106,0.227,0.113,0.646,0.065,0.785,0.479,0.658,0.485,0.645
1,0.475,0.036,0.149,0.598,0.091,0.609,0.006,0.445,0.785,0.798,0.658,0.745
0,0.26,0.279,0.785,0.641,0.598,0.23,0.038,0.028,0.091,0.473,0.784,0.065
1,0.254,0.778,0.395,0.655,0.472,0.807,0.038,0.645,0.598,0.658,0.065,0.637
1,0.571,0.264,0.658,0.598,0.13,0.472,0.658,0.018,0.598,0.485,0.472,0.786
0,0.482,0.124,0.026,0.376,0.385,0.308,0.324,0.229,0.758,0.071,0.275,0.695
0,0.003,0.658,0.786,0.472,0.801,0.462,0.065,0.794,0.598,0.059,0.555,0.752
1,0.743,0.642,0.641,0.473,0.073,0.658,0.807,0.787,0.381,0.181,0.485,0.248
0,0.26,0.641,0.786,0.465,0.645,0.784,0.663,0.801,0.151,0.497,0.479,0.181
1,0.248,0.145,0.788,0.798,0.645,0.385,0.308,0.658,0.645,0.145,0.494,0.801
0,0.658,0.127,0.537,0.227,0.248,0.381,0.038,0.028,0.091,0.473,0.784,0.065
0,0.645,0.801,0.807,0.006,0.151,0.658,0.645,0.785,0.212,0.385,0.462,0.145
0,0.785,0.212,0.645,0.485,0.658,0.465,0.392,0.788,0.798,0.445,0.398,0.461
1,0.485,0.748,0.658,0.212,0.145,0.036,0.598,0.658,0.719,0.785,0.645,0.646
1,0.091,0.303,0.646,0.642,0.645,0.596,0.719,0.701,0.065,0.13,0.646,0.786
0,0.641,0.036,0.462,0.423,0.248,0.798,0.213,0.497,0.625,0.778,0.784,0.127
0,0.561,0.452,0.7,0.445,0.475,0.462,0.254,0.778,0.395,0.655,0.472,0.807
1,0.784,0.376,0.637,0.428,0.472,0.497,0.308,0.472,0.801,0.786,0.465,0.248
1,0.645,0.798,0.35,0.7,0.655,0.428,0.003,0.472,0.197,0.245,0.113,0.445
1,0.785,0.658,0.212,0.645,0.806,0.784,0.286,0.461,0.006,0.748,0.645,0.798
1,0.248,0.145,0.788,0.798,0.645,0.385,0.308,0.479,0.645,0.658,0.798,0.801
